text,content
"“Folks who benefit from having fewer people participate are constantly looking for new ways to suppress turnout,” said Stuart Naifeh, an attorney at Demos who was involved in a high-profile voter purge case at the United States supreme court last year. Voter purges “is one that seems to have become more popular.”
Purging is not new – federal law has required it for more than two decades – but there is a new awareness of how purges can remove eligible voters from the rolls and target populations that move a lot: the young, the poor and people who live in cities, all groups that tend to favor Democrats.
Read more at The Guardian",media
"Today, Demos is launching a campaign for the month of December aimed at raising at least $100,000 to support our work in Winning the Next 20 Years—and we’re excited to announce that the first $25,000 raised will be matched by the Suzanne and David Johnson Foundation.
Support Our Work
Rarely in recent history has the difference between two possible American futures seemed so stark. We can continue down our current path, dismantling democratic institutions and concentrating power among a shrinking number of people—or we can build multi-racial coalitions that put the tools of democracy and economic opportunity in everyone’s hands.
Demos has been at the forefront of the fight for that second future: halting efforts to purge voters in Florida, Indiana, Ohio, and Texas; partnering with on-the-ground organizations to restore voting rights to people with felony records in Florida; and playing a key role in passing the Climate Leadership and Community Protection Act in New York State, a model for equity-centered policy and advocacy that can be adopted by other states, and by the nation.
Today is a chance to stand as one against a future where only some voices are heard. In the crucial year ahead, we will continue to fight against voter suppression and disenfranchisement and to elevate the issues that will shape this country’s next 20 years—confronting the climate crisis, lifting the burden of student debt, and building the political power of communities of color to achieve a truly equitable society.
The inclusive future we envision is within our reach, and we’re putting in the work now, which is made possible by the backing of hundreds of supporters such as yourself.
Thank you for what you can give today.
Donate Now",blog
"Happy New Year from all of us at Demos! Here are a few things we’re thinking about as 2020 begins:
— Stuart Naifeh, Demos Senior Counsel on the Wisconsin purge, quoted in The Guardian
 ",blog
"As we kick off 2020, civil rights lawyers are focused on protecting voting rights so that everyone can be heard in this pivotal presidential election year. One of the most hidden and racially disparate forms of voter disenfranchisement, however, is receiving too little attention: the denial of voting rights to pretrial jail detainees.
On any given day—including Election Day—over half a million people who are innocent until proven guilty sit in jail awaiting trial.
On any given day—including Election Day—over half a million people who are innocent until proven guilty sit in jail awaiting trial. Many of them are there because they are too poor to afford their bail. Although they are eligible and often registered to vote, citizens detained pretrial cannot get to the polls and often have no way of voting by absentee ballot. In the 1974 case O’Brien v. Skinner, the Supreme Court recognized that pretrial detainees have a fundamental right to vote and cannot be absolutely denied the franchise. And yet violation of their rights remains a systemic problem across the nation.
Demos is working to change this by filing litigation and advocating with election officials in several states.
My organization, Demos, is working to change this by filing litigation and advocating with election officials in several states. For example, we are currently suing Ohio in Mays v. LaRose, 2:18cv1376 (S.D. Ohio), over the state’s practice of denying absentee ballots and any other means of voting to eligible voters who are jailed in the days leading up to an election.
Eligible Ohio voters who find themselves jailed on pending charges or on a misdemeanor conviction may request an absentee ballot from their county board of elections. But such a request must be made in person at the board’s office by close of business on the Friday before an election or, if sent my mail, must be received at the board’s office by noon on the Saturday before an election. This means that no person arrested after close of business Friday and held in custody through Election Day will be able to request and vote by absentee ballot. Since county officials don’t make voting available on-site in jails and don’t escort people to the polls, these “late-jailed” voters have their voting rights absolutely denied.
As it happens, Ohio does allow people who are unexpectedly hospitalized (or whose minor children are unexpectedly hospitalized) in the days before an election to make an emergency absentee ballot request—all the way up to 3:00 p.m. on Election Day. The county will send two election officials to the hospital, ballot in hand, and these election officials will then deliver the completed ballot back to the board of elections. Alternatively, hospitalized voters can have a family member pick up the ballot and return it for them. This courtesy is not extended to late-jailed voters, even though the state plays a pivotal role in their inability to get to the polls. Unlike with hospitalized voters, it is the state that is keeping the accused from the polls.
In November 2018, our team at Demos, along with co-counsel at the Campaign Legal Center and the MacArthur Justice Center, sued in federal court. The Monday before the midterm elections, we sat in arraignments in multiple counties and observed which individuals were ordered detained. Collaborating with public defenders and other in-state advocates, and cross-referencing names from court dockets with the voter registration database, we then visited impacted individuals in jail. Two men detained in the Montgomery County Jail in Dayton, Quinton Nelson Sr. and Tommy Mays II, asked that we represent them and agreed to be class representatives in a class action suit.
Both were registered voters living in Dayton who had intended to vote on Election Day, November 6, 2018. Mr. Nelson was arrested at 10:00 p.m. on the Friday before Election Day, and Mr. Mays was arrested at 7:00 p.m. that Saturday. Both were detained on misdemeanor charges at the county jail on $10,000 bail and could not afford to buy their release. They completed handwritten affidavits in the jail’s visitation room on Monday evening.
As voting got underway the next morning, our team made its way from Dayton to the federal courthouse in Columbus. Having finished our pleadings during the drive, our team walked into federal court with a complaint and TRO motion alleging violations of the Equal Protection Clause and First Amendment. The judge held a hearing, granted the TRO, and ordered that ballots be delivered to our clients at the Dayton jail. Mr. Mays and Mr. Nelson both voted that day. And constitutional claims that otherwise would have faced serious ripeness and mootness problems were now properly before the court.
In the year that followed, we conducted extensive discovery and established a firm record that Ohio denies the opportunity to vote to citizens detained in the days leading up to an election. One election official also stated in deposition testimony that there are fifteen times as many hospitalized voters as jailed voters in the state, and the hospital voting process takes eleven times longer to complete than the jail voting process. When asked if there was “anything about the jails as opposed to the hospitals, that would make it such that there would be a reason the board would not be able to, on election day, after 3 p.m., receive the applications, determine the eligibility and print the ballot to deliver to the jail,” the election official answered, “Not to my knowledge.”
In November 2019, U.S. District Judge Michael Watson certified our class and granted summary judgment in our favor. Concluding that late-jailed and late-hospitalized voters are similarly situated in all relevant respects, he noted that the state had not proffered any justification for treating them differently “except the Ohio legislature’s potential determination that [the latter are] ‘particularly worthy’” (citing the state’s brief). Judge Watson continued: “But hospitalized persons are not more worthy of additional voting privileges under our Constitution than jail-confined persons, and offering greater access to the ballot simply because the legislature values the former’s votes over the latter’s is exactly what the Equal Protection clause forbids.”
The court enjoined Ohio from imposing different absentee ballot request deadlines on late-jailed voters and late-hospitalized voters. The state has appealed. Case No. 19-4112. Although the Sixth Circuit denied a stay, it ordered expedited briefing in January and February so that the case can be decided in advance of Ohio’s March 17, 2020 primary.
[R]oughly 1,000 eligible and registered Ohio voters found themselves behind bars and unable to cast a ballot in each of the last four federal general elections.
Voting rights for pretrial detainees is no trivial matter. Our expert witness in Mays estimated that roughly 1,000 eligible and registered Ohio voters found themselves behind bars and unable to cast a ballot in each of the last four federal general elections. And that’s just one state. Jail voting is such a pervasively neglected right that the aggregate consequences of noncompliance with the Constitution must be severe. Moreover, biases and disparities in criminal law enforcement mean that these violations hit communities of color and low-income voters hardest.
More litigation is needed. We are actively building cases and are eager to work with local counsel around the country. Where state and local officials are willing, litigation may be unnecessary and solutions are at hand. One model is the landmark legislation enacted in Illinois last year, SB 2090, which requires that Cook County Jail become a temporary polling place at election time and that all other counties make arrangement for absentee ballot voting. Grassroots groups like Chicago Votes were at the center of the legislative push and are working with government officials to make the reforms a success. Demos is committed to this work and welcomes the partnership of anyone interested in building a more inclusive democracy.
This piece originally appeared in the Winter 2020 edition of the Federal Bar Association Civil Rights Law Section's Civil Rights Insider.",blog
"Haiti is a beacon of revolution and resistance where it’s people are born with the unwillingness to accept anything less than freedom and equality.
Reflecting on the 216th anniversary of the Haitian Independence on January 1, I think about how a single story often defines Haiti and her inhabitants — that Haiti is an impoverished, disaster beaten country that struggles with deep rooted political instability. This single story misses the reality:  Haiti is a beacon of revolution and resistance where it’s people are born with the unwillingness to accept anything less than freedom and equality. From prolific military tactician and a founding father of Haiti, Toussaint L’Ouverture, to Haitian-American political campaign organizer under Obama from 2008-2012, Karine Jean-Pierre, Haitians have an inherent thirst for change and fighting spirit that grows with each new generation.  
I’m a first-generation Haitian American and I want deeply for the US to actively raise up the contributions and achievements of my ancestral home. With that said, the question remains — what can the U.S. and other global communities learn from Haiti? 
 
In the year following the catastrophic earthquake of 2010 that damaged Haiti’s agricultural backbone, Monsanto, a multi-billion dollar American argi-business company, gifted a $4 million donation of hybrid seeds to Haitian farmers, alleging to support reconstruction efforts. What seemed to be a gesture of good will was, in reality, an endeavor that would eventually disrupt Haiti’s  fragile agricultural economy and ultimately create dependency on Monsanto’s seeds. In the U.S., Monsanto is known for their wide range of chemical products like Miracle Gro and Roundup Weedkiller. However, studies prove that the company produces dangerous and harmful products, select Monsanto products cause cancer, and illegally spreads toxic pesticides over Maui, Hawaii. Grassroots organizations like Haiti’s Papaye Peasant Movement (MPP), the oldest and largest farmers organization in the country, responded by organizing a protest with over 10,000 farmers to protect the livelihoods of thousands of Haitian farmers and committed to destroying and burning the hybrid seeds if it reached them. The movement continues to take back the power of Haitian farmers and dismantling a narrative of dependency and helplessness.
 
Haitian folklore tells us about the creation of the country’s flag.
Haitian folklore tells us about the creation of the country’s flag. Jean-Jacques Dessalines, the first leader of a newly independent Haiti, created the flag with the help of his niece, Catherine Flon, to symbolize the union of black Haitians and free people of color to shake off caste systems of old colonial structures and structural colorism. Uprising against exploitive governments is nothing new to Haitians. Today, Haitians are embroiled in widespread pro-democracy protests dating back to when President Jovenel Moïse was seated in early 2017. Haitians stand united against rampant corruption to a level that has inspired the generally reticent Catholic Church to engage in demonstrations and stage peaceful protests calling for a change in the US-backed government. “The system is not for us. It’s for politicians to come in, get rich, and do all kinds of corrupt activities in accord with the private sector,” said Daphne Valmond-Bourgoin, a 40-year-old protester. Across the country, Haitians are calling for accountability of elected officials, transparency of public funds, and less foreign intervention similar to the American political environment. Haitian citizens have consistently criticized dictatorships and authoritarian leaders while making an effort to have more say in their government. Foreign intervention prevents progress to an inclusive democracy, but Haitians counter that by continuing to raise concerns at the world stage. 
Haitian people have the grit to fight powerful adversaries and the resiliency to deal with the repercussions of it. On this Haitian Independence Day, the world must recognize Haiti and her people not only for their struggle, but also for their ingenuity, their resolve and their courage. As one of the oldest republics in the region, Haiti is the cradle of revolution and resistance.",blog
"Since the ratification of the Constitution, the document has been amended several times to protect the voting rights of African Americans and women, and to extend the right to vote to those 18- to 20-years-old. Each of those amendments took decades of strife and protest to adopt and then implement. Yet even now, the language of the Constitution does not provide an affirmative, unassailable guarantee that all US citizens of legal voting age will be able to vote. Whatever affirmative guarantees we do have are usually in state constitutions or their subsequent amendments.
With a constitutional amendment, it wouldn’t be only the incarcerated who benefit. A constitutional amendment could supersede civically bankrupt voter ID laws. As a constitutional amendment, voting — both protecting it and encouraging it — becomes a congressional matter, and would be standardized across states. With such an amendment, allowing same-day voter registration and automatic voter registration won’t be pipe dreams but best next steps.
Read more at The Boston Globe",media
"In 2016, Donald Trump won the state of Wisconsin by fewer than 23,000 votes out of almost 3 million cast in the state. Now, as we enter 2020, a massive voter purge threatens to skew the electorate and prevent eligible voters from having their say.
In October, the conservative Wisconsin Institute for Law and Liberty (WILL), a group that has backed former governor Scott Walker’s attacks on organized labor, filed a lawsuit against the Wisconsin Election Commission, asking the court to force the Commission to purge 234,000 voters from the state’s voter rolls. One week ago, a judge ruled in WILL’s favor and ordered the purge. According to our analysis, the voters targeted for removal are disproportionately voters of color. 
 
WILL’s lawsuit targets voters who were flagged as having moved through an interstate system known as ERIC. [...] But ERIC doesn’t always get it right.
WILL’s lawsuit targets voters who were flagged as having moved through an interstate system known as the Electronic Registration Information Center (ERIC). ERIC pools voter registration, postal service, and driver’s license information from member states and attempts to identify voters who have moved within the state or to another member state, allowing states to remove those who have become ineligible to vote in the election district in which they are registered. But ERIC doesn’t always get it right. In 2017, the first year Wisconsin participated in ERIC, 46,000 of the more than 340,000 individuals on Wisconsin’s ERIC list—double Trump’s margin of victory—were incorrectly flagged as having moved. These individuals were purged after failing to respond to a mailed notice that gave them 30 days to confirm or update their registrations. 
Recognizing the inaccuracies in the ERIC list and having experienced the consequences in the 2018 election cycle when the names of thousands of eligible, registered voters were missing from poll books when they went to vote, the Wisconsin Election Commission decided to take it more slowly the second time around. Voters on the 2019 ERIC list would be given until after the 2020 election to confirm or correct their registrations—which they could do by responding to a mailing or by confirming their address at the polls on election day. Protecting voters from improper removal would mean higher participation by eligible voters. WILL sued to prevent WEC from taking that voter-protective approach. The lawsuit charged that Wisconsin law requires voters on the ERIC list to be purged if they don’t respond to the mailing within 30 days. Last Friday, Ozaukee County Circuit Judge Paul Malloy agreed and ordered the Election Commission to begin cancelling registrations immediately. 
 
We can use demographic data from the U.S. Census Bureau to estimate the impact this purge could have based on race in Wisconsin.
The Wisconsin Election Commission has not publicly released the list that was used to target voters for removal, and this lack of detailed public data prevents us from knowing exactly which voters are affected by the court’s order. But we can use demographic data from the U.S. Census Bureau to estimate the impact this purge could have based on race in Wisconsin. These data indicate that a disproportionate number of mailers were sent to areas with large Black voting bases. 
While the Black voting population comprises only 5.7% of Wisconsin’s total electorate, the highest concentrations of 2019 ERIC mailers were sent to areas that are home to the largest Black voting population in Wisconsin. Over one-third—35%—of the mailers sent to voters on the 2019 ERIC list went to the two counties where the vast majority of Wisconsin’s Black voters reside, Milwaukee and Dane. These two counties are home to three quarters—74.665%—of Wisconsin’s Black voters; Black voters make up 17.45% of these counties’ entire electorate.1
And while these counties are large, they are not large enough to account for the significantly higher number of their voters targeted in WILL’s lawsuit. For example, Milwaukee County makes up 15% of Wisconsin’s electorate, but received almost 22% of the mailers. Similarly, Dane County makes up 9% of the electorate and received 13% of the total mailers. In comparison, Fond Du Lac County, which has an electorate that is 96% white, makes up 2% of Wisconsin’s total electorate and received 1.4% of mailers. 
Census data also indicate that this voter purge could negatively impact Latino and Asian American voters in Wisconsin. Milwaukee County is home to 37.32% of the state’s Latino voters, and 20.73% of its Asian voters.2 Many of these voters have a limited ability to understand English, but the ERIC mailers were not provided in any other language.
 
The court-ordered voter purge in Wisconsin will fall disproportionately on some of the most vulnerable voters. Although Wisconsin allows registration right up through Election Day, voters who want to register at the polls have to bring proof of address—something voters who believe they are registered don’t think to take with them when they go to vote. And when more voters have to register on Election Day, it increases the amount of time everyone has to wait in line to vote. 
Disproportionately excluding voters of color will weaken democracy in the state and could have profound effects for the nation.
Disproportionately excluding voters of color will weaken democracy in the state and could have profound effects for the nation. Voting rights advocates in the state have now asked a federal court to intervene and stop this unwarranted and discriminatory purge. Whatever the courts may do, Wisconsin voters must recognize the purge for what it is: undue voter suppression that will hit communities of color hardest.  ",blog
"This piece originally appeared at The Forge
As the country barrels forward through possible impeachment proceedings against President Donald Trump and with a highly fractious and high-stakes 2020 election careening towards us, there is no question that American democracy is at a moment of crisis. But the crisis of our democracy is about much more than the chaos emanating from the current occupant of 1600 Pennsylvania Avenue, or the risk of a slide into autocracy. For too many Americans, democracy has been a value in name only, as our lived realities have been something very different. What does it mean to be a democracy where Black Americans—Like Atatiana Jefferson, in Dallas, Texas—can be murdered in their own homes by agents of the state? Or where an Amazon warehouse worker can be fired for falling behind on orders for even a few moments, their every movement surveilled and tracked, even as other workers can have a heart attack on the job and lie unassisted for over twenty minutes? Or where whole cities and communities can lie in debt and economic ruin as fodder for financial firm returns. The harsh reality is that there are elements of autocracy already here in America; it has just been unevenly distributed. 
And that means that the task of (re)building our democracy is not just about the 2020 elections—though they are absolutely critical to our aspirations for an inclusive and equitable future. The task ahead requires much more than mobilizing voters and winning a Presidential election. It requires building and shifting power—in particular, the power of Black and brown communities and working families, where “we the people” really does mean all of us. It also requires creating an entirely different infrastructure that can sustain and deepen this power, and make it tangible and real for people in their daily lives.  In our new book, Civic Power, we outline what this approach to building bottom-up democratic power could look like, and how it requires moving beyond conventional approaches to reform.
One of the central challenges to a power-oriented approach to democracy reform comes from the conventions of reformers themselves. Often, democracy reform is animated by one of four common presumptions about what ails democracy and how to fix it: 
Together these approaches to democracy reform comprise what we conventionally think of as a “good governance” ethos, a way of conceptualizing democracy’s failures and its remedies. While each of these approaches has some element of truth and value, there is a common limitation: they all to different degrees share a desire to purify policymaking of the vagaries of disagreement or conflict, in search of some apolitical and true form of democracy. Implicitly, these approaches all hold that deep down, the people are fundamentally in agreement around common-sense public policy, and if only there were greater information, data, and virtuous citizenship, free of the complications of interest group politics and partisanship, democracy would thrive. 
But these approaches risk erasing another key reality: that politics is about who governs and who has power, and that democracy fails not just because of some technical limitations of our institutional system but because there are real interests who benefit from democracy’s failure. Furthermore, these approaches also imply a strangely narrow conception of what role the people themselves should play in democratic governance, imagining a sterilized and distant democratic public rather than a democracy that actively engages and empowers those most directly impacted. 
These conceptual limitations of good governance reform have real political consequences, narrowing the scope of reform vision to more technical, technocratic reforms that while they may succeed in making government more “efficient”, do little to actually shift the balance of power in our society. There is also a sociological root to this: too often, democracy reform conversations can take place in more elite circles among policymakers, reformers, or institutions with more privileged backgrounds, rather than centering the voices of those most marginalized and affected, in ways that compounds the erasure of racial, gender, class, and power disparities. 
By contrast, a power-oriented approach to democracy reform focuses not just on technical institutional design questions but on a broader look at how organizing, institutions, and democratic infrastructure can be remade to re-allocate decision-making power. Specifically, building power requires a multipronged approach: first, organizing people into empowered communities capable of exercising political voice and influence; and second, institutionalizing the power of grassroots communities to shape day-to-day policymaking and governance.
From the Movement for Black Lives to the Women’s March, the Red for Ed protests, the March for our Lives, and much more, we are in a moment of renewed grassroots mobilization and protest. These movements have radically changed the windows of political possibility, activating new voters and grassroots leaders, and shifting the outcomes of electoral and policy debates. It is a powerful reminder that building an inclusive democracy requires catalyzing, sustaining, and deepening the capacity of communities to exercise political influence. 
While we often refer to a vague democratic “public opinion” to see what voters and communities want, the reality is that politics and public policy are shaped less by the inchoate and often inconsistent preferences of the public, and more by the balance of power among organized interest groups. Indeed, we can trace much of our current crisis of economic inequality and persisting racial inequity to the efforts of business groups to organize strategically over the last forty years through lobbying, campaign contributions, and more subtle techniques of regulatory and legal advocacy and capture to drive a business-friendly deregulatory agenda and help rollback advances of the civil rights movement. Public policy is consistently and demonstrably more responsive to the whims and desires of wealthier, and better organized Americans. Conservative policies like “right-to-work” laws and the loosening of antitrust and financial regulations are not just about economic policy; rather these are deliberate strategies to shift power by breaking the political efficacy of organized labor and unshackling the economic and political influence of big business.  
It follows then that building an inclusive democracy requires a counter shift in political power towards the people themselves, both by constraining and breaking the concentrated power of the wealthy and of corporate interests and by deepening the organization and strategic capacity of grassroots communities. This, in turn, means taking a radically different approach to civic engagement. 
Too often, civic engagement initiatives and funding streams focus on narrow goals of mobilization: registering and turning out voters, exhorting communities to be virtuous citizens by engaging in politics, and the like. And even more tragically, when we experience mass waves of mobilization—such as the 2008 Obama election—these surges of grassroots energy and activation have been kneecapped, converted into email fundraising machines rather than into genuine, grassroots organized capacity. A power-oriented approach to organizing instead focuses on investing directly in organizations and movements.
First, investing in grassroots groups and leaders empowers them to grow power and capacity within their own communities, centering those most directly affected. This means moving away from flash-in-the-pan moments of mobilization and last-minute efforts at voter turnout, and instead turning to year-round organizing to build collective power that can contest elections and exercise pressure on government in a more impactful and sustained way.
Second, deep relational organizing builds new leaders who emerge from their own communities over the course of movement-building and advocacy campaigns. These leaders are powerful voices for change, rooted in their communities, and have an exponential effect on expanding the imagination, vision, and impact of grassroots power. 
Third, power-building organizing requires taking a sophisticated, strategic approach to advocacy campaigns, targeting not just visible forms of injustice, but also building the narratives, the public political education, and the capacity to tackle the hidden, structural drivers of exclusion and extraction. For example, new worker movements are focused not just on issues of wages but also on how the behind-the-scenes power of investors are driving the increasing precarity of work.
Fourth, this kind of deep organizing can create a new sense of shared fate and mutual solidarity while centering the most frontline communities, especially empowering black and brown communities and working families. By making visible the structural roots of on-the-ground inequities, and by creating a space and vehicle for collective action to address these problems, organizing can forge new bonds within and across constituencies bound together by a shared fate. Consider for example how new investments in climate resiliency succeeded in part because of organizing efforts that advanced an affordability and climate agenda in both the cities and suburbs, centering communities of color across the state. 
Just as building power requires a deeper approach to civic engagement, it also requires shifting our conventional approaches to governing, policymaking, and institutional design. To shift power, we need to invest not just in organizing capacity but also in governance capacity, remaking our policymaking institutions to more directly center, empower, and engage frontline communities. If democracy is rule by “we the people,” then the actual day to day business of democratic policymaking must be more driven by the most affected constituencies. This in turn means taking a radically different approach to how we structure and operate administrative agencies and the policymaking bureaucracy. 
Bureaucracies are in many ways at the heart of everything that is flawed about conventional democracy. Democracy reform tends to give elections, voting, and the federal legislature pride of place. And no doubt these institutions are critical for democracy to exist. But democracy and equitable power require more than well-functioning elections and legislatures. Administrative agencies—like the Environmental Protection Agency or municipal zoning boards or state labor commissions—are the actual frontline institutions of governance, where many of the most consequential decisions and policies are decided and actually implemented. 
The centrality of governance institutions is not just procedural; these institutions are key in addressing substantive questions of inequality and exclusion. Without powerful civil rights enforcement agencies and offices, racial and gender discrimination and exclusion cannot be undone. Without an administrative regime to protect workers, or to provide universal access to public goods and the safety net, inequality increases. Given the importance of governance institutions in addressing the substantive, chronic, and structural dimensions of inequality and exclusion, it should be unsurprising that the dismantling of these institutions has been central to the political and policy strategy of the kinds of business interests and exclusionary politics
Yet these institutions are often overlooked in discussions of democracy reform. Too often, bureaucracies are left to either be vilified and dismantled by the Right, or further insulated from democracy under an apolitical, technocratic commitment by liberals to “good governance.” Instead, we need to reimagine an approach to bureaucracy that centers power and democracy, leveraging bureaucratic institutions as a way to further institutionalize direct decision-making authority for frontline communities. Bureaucracies themselves can be created, reformed and re-staffed to orient towards the need to redress disparities of democratic participation and power, and to bake this orientation more deeply into the day to day work of governing. To put it another way, we need to approach governance not just in terms of securing the policy wins for our campaigns and our communities, but rather in terms of remaking governing institutions themselves in ways that deepen our long-term power.
First, institutionalizing power requires embedding more points of leverage and influence that grassroots communities can use in the policymaking process itself. These “hooks and levers” can take different forms. For example, at different points in the past, social movements have briefly experimented with legislative and regulatory innovations that mandated stakeholder representation and participation: from the War on Poverty’s attempt at requiring “maximum feasible participation” of grassroots communities to the now-neutered Consumer Financial Protection Bureau’s efforts to engage frontline communities more directly in agenda-setting and policy design. At the local level, experiments in participatory budgeting and community power in shaping and monitoring urban development projects offer roadmaps for institutionalized forms of participation that embed more durable and effective forms of grassroots power.  
Second, we need to remake the internal structure, personnel, and even culture of government itself to center these democratizing initiatives. Governing through more inclusive and participatory models that directly empower frontline communities requires significant investment and expertise on the part of conveners who design representative and participatory mechanisms, provide briefings for the participants on relevant data and issues, and facilitate discussion to lead to concrete, usable recommendations. Policymakers tend not to invest in these skills or tasks. To fully harness the potential of institutional design and policymaking for building countervailing power, this will have to change. If we are serious about democratizing governance, we will need to invest in people’s leadership development, both in current employees and in building a diverse talent pipeline—including imagining a world where grassroots leaders and organizers themselves are viewed as experts in their own right and positioned in high-level cabinet and regulatory positions themselves. It will also require moving governing bodies away from an obsession with efficiency, privatization, and technocratic decision-making to instead emphasize participation and equity.
True democracy reform must be transformative and bold enough to meet the challenges of the moment. Democracy is not going to be achieved by tinkering around the edges of existing economic, social, and political regimes. Neither optimizing government to make it more efficient, nor generating mass numbers of online petition signers will suffice. Democracy is a radical, transformative aspiration, committed to building the deep and durable power of grassroots communities to author their own destinies through the shared exercise of the powers and responsibilities of governance. 
But radical democracy is not utopian; it is rather very real and achievable. That realness is often mundane: radical democracy can be found in the painstaking door-by-door work of organizing new movements, coalitions, and communities, of forging common identities, and of building the relationships and organizational muscles needed to assert political power. Radical democracy can be found in the work of policy design, optimized not for efficiency, but for inclusion. Radical democracy can be found in the work of bureaucratic culture-shifting, transforming staid government organizations into open and inclusive forums and counterparts, where communities can engage and participate in the business of decision making. 
Indeed, these are broad aspirations; they will require significant organizing and advocacy work on the part of civil society actors as well as radical institutional and policy change on the part of governments. But this is not the first time America has faced a crossroads where the survival of democracy is at stake. Reconstruction after the Civil War, the Populist and Progressive movements culminating in the New Deal response to the upheavals of industrial capitalism, and the Civil Rights movement (and its successive inclusionary movements) of the 1960s and 1970s all represent major transformative moments when American democracy created new institutions that expanded its responsiveness and staved off the pathologies of corruption, systemic exclusion, and deliberate de-democratization. Whether today’s movements, organizations, and institutions will similarly be able to restore and even deepen American democracy in the twenty-first century remains to be seen.",blog
"Discrimination lies at the heart of this racial inequality. It persists in employment, where black people without criminal records are less likely to get job callbacks than white applicants with them; in banking, where black entrepreneurs have a harder time getting financing ; in restaurant service, where black customers have the police called on them or are forced to prepay for their food; and in housing, where renters of color are turned away from available units and must contend with #AirbnbWhileBlack.
We will never root out pervasive bias without strong legal protections. The Supreme Court should rule against Comcast. If it does not, the public must demand that Congress quickly restore the 1866 Act.
Read more at Bloomberg Law",media
"New York should be expanding voters’ rights, demonstrating what real democracy looks like. We should ensure working moms and dads, immigrants and people of color have equal access and voice in our electoral system. In the face of an imminent federal onslaught, we should be saying unequivocally that we stand for good government of the people, by the people and for the people. [...]",media
